Food Category,Food name,Source,Vendor,Ingredients,Average quantity per serving,,,,,,,,,,,,,,Average quantity per 100g,,,,,,,,,,,,
,Salami supreme turkish,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro",,,1012.53,,10.37,9.93,1.91,27.47,3.77,,149.11,,,,,955.22,,9.79,9.37,1.8,25.92,3.56,,140.67,,,,
,Roast Beef supreme turkish,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","roast beef, spanish onion, chilli sauce, cheese and tomato on turkish bread",,1410,,24.2,6.8,2.9,42.4,4.1,,499,,,,,858,,14.7,4.2,1.8,25.9,2.5,,304,,,,
,Chicken Schnitzel turkish,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro","chicken schnitzel, lettuce, mayonnaise on turkish bread",,2170,,46,9,2.4,60.2,5,,884,,,,,809,,17.2,3.4,0.7,22.5,1.8,,330,,,,
,Ham Cheese Croissant,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro",ham and cheese on croissant,,1412.8,,18.6,10.54,5.14,40.34,2.09,,1097.1,,,,,941.87,,12.4,7.03,3.43,26.89,1.39,,731.4,,,,
,Chicken and Cheese Avocado Turkish,Nutritional Information from the manufacturer,"Manning Grill, Manning Kiosk, Carslaw Cafe cart, Fisher coffee cart, Courtyard Cafe, Footridge Station, Snack Express, Bosch cafe, Engineering cafe, Mallet St Cafe, Music Cafe, Music Bistro",,,1770.8,,20.52,18.85,4,40.26,2.42,,546.9,,,,,1106.75,,12.83,11.78,2.5,25.16,1.51,,341.81,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SubwayÂ® 6-inch Sandwiches with 6 grams of Fat or Less,Ham,Nutritional Information from the manufacturer,Subway,"Values include white or wheat bread, lettuce, tomatoes, onions, capsicum, pickles, olives and cheese.",209,1170,279,16.5,4.7,1.6,41.1,5.1,,1150,,,,,559.81,133.49,7.89,2.25,0.77,19.67,2.44,,550.24,,,,
,Roast Beef,Nutritional Information from the manufacturer,Subway,,208,1150,274,16.2,4.7,1.5,40.4,3.2,,1110,,,,,552.88,131.73,7.79,2.26,0.72,19.42,1.54,,533.65,,,,
,Roasted Chicken,Nutritional Information from the manufacturer,Subway,,223,1280,306,23.6,5.1,1.5,39.9,3.6,,708,,,,,573.99,137.22,10.58,2.29,0.67,17.89,1.61,,317.49,,,,
,Turkey,Nutritional Information from the manufacturer,Subway,,203,1160,276,15,5.6,1.7,40.1,3.5,,980,,,,,571.43,135.96,7.39,2.76,0.84,19.75,1.72,,482.76,,,,
,Turkey & Ham,Nutritional Information from the manufacturer,Subway,,207,1160,278,15.9,5.1,1.6,40.6,4.5,,1080,,,,,560.39,134.30,7.68,2.46,0.77,19.61,2.17,,521.74,,,,
,Subway Club,Nutritional Information from the manufacturer,Subway,,221,1210,290,17.9,5.4,1.7,41,4.2,,1230,,,,,547.51,131.22,8.10,2.44,0.77,18.55,1.90,,556.56,,,,
,Sweet Onion Chicken Teriyaki,Nutritional Information from the manufacturer,Subway,,266,1540,368,22.9,5.4,1.7,55.2,15.7,,1460,,,,,578.95,138.35,8.61,2.03,0.64,20.75,5.90,,548.87,,,,
,Veggie Delite,Nutritional Information from the manufacturer,Subway,,159,958,229,8.8,3.7,1.1,38.7,3.2,,545,,,,,602.52,144.03,5.53,2.33,0.69,24.34,2.01,,342.77,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SubwayÂ® 6-inch Sandwiches,Cheese Steak,Nutritional Information from the manufacturer,Subway,"Values include white or wheat bread, lettuce, tomatoes, onions, capsicum, pickles, olives and cheese.",235,1510,360,20.5,11.5,5.9,41.2,3.9,,1110,,,,,642.55,153.19,8.72,4.89,2.51,17.53,1.66,,472.34,,,,
,Chicken & Bacon Ranch,Nutritional Information from the manufacturer,Subway,,276,1890,451,28.5,18.4,6,41.6,4.2,,1590,,,,,684.78,163.41,10.33,6.67,2.17,15.07,1.52,,576.09,,,,
,Chicken Fillet,Nutritional Information from the manufacturer,Subway,,231,1644,393,21.6,14.8,7.6,42,3.3,,1123,,,,,711.69,170.13,9.35,6.41,3.29,18.18,1.43,,486.15,,,,
,Chicken Parmigiana,Nutritional Information from the manufacturer,Subway,,296,1940,464,26.5,18.2,9.3,48,8.3,,1330,,,,,655.41,156.76,8.95,6.15,3.14,16.22,2.80,,449.32,,,,
,Chipotle Southwest Cheese Steak,Nutritional Information from the manufacturer,Subway,,256,1860,444,21.1,19.6,7.2,43.4,5.3,,1290,,,,,726.56,173.44,8.24,7.66,2.81,16.95,2.07,,503.91,,,,
,Italian BMTTM,Nutritional Information from the manufacturer,Subway,,228,1820,435,22.6,19.5,8.5,40.9,4.4,,1550,,,,,798.25,190.79,9.91,8.55,3.73,17.94,1.93,,679.82,,,,
,Meatball Marinara,Nutritional Information from the manufacturer,Subway,,331,2080,496,22.6,21.2,9.9,53.5,12.3,,1440,,,,,628.40,149.85,6.83,6.40,2.99,16.16,3.72,,435.05,,,,
,Spicy Italian,Nutritional Information from the manufacturer,Subway,,231,2120,508,25,27,11,41,4,,1640,,,,,685.95,164.46,8.31,6.94,2.15,16.69,1.49,,412.40,,,,
,Tuna,Nutritional Information from the manufacturer,Subway,,242,1660,398,20.1,16.8,5.2,40.4,3.6,,998,,,,,685.95,164.46,8.31,6.94,2.15,16.69,1.49,,412.40,,,,
,Subway Melt TM,Nutritional Information from the manufacturer,Subway,,238,1530,365,21.6,11.9,5.6,41.4,5.2,,1460,,,,,642.86,153.36,9.08,5.00,2.35,17.39,2.18,,613.45,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deli Style Sandwiches,Ham,Nutritional Information from the manufacturer,Subway,"Values include deli roll, lettuce, tomatoes, onions, capsicum, pickles and olives.",145,920,220,11.8,3.5,1.2,34.2,3.6,,718,,,,,634.48,151.72,8.14,2.41,0.83,23.59,2.48,,495.17,,,,
,Roast Beef,Nutritional Information from the manufacturer,Subway,,145,909,217,11.6,3.5,1.1,33.9,2.4,,694,,,,,626.90,149.66,8.00,2.41,0.76,23.38,1.66,,478.62,,,,
,Tuna (includes cheese),Nutritional Information from the manufacturer,Subway,,164,1240,297,14.2,11.3,4.2,33.8,2.7,,698,,,,,756.10,181.10,8.66,6.89,2.56,20.61,1.65,,425.61,,,,
,Turkey,Nutritional Information from the manufacturer,Subway,,142,913,218,10.9,4,1.2,33.7,2.6,,556,,,,,642.96,153.52,7.68,2.82,0.85,23.73,1.83,,391.55,,,,
Wraps,Chicken & Bacon Ranch (includes cheese),Nutritional Information from the manufacturer,Subway,"Values include wrap, lettuce, tomatoes, onions, capsicum, cucumbers and olives.",260,1890,453,40,23,8,9.8,2.4,,1840,,,,,726.92,174.23,15.38,8.85,3.08,3.77,0.92,,707.69,,,,
,Tuna (includes cheese),Nutritional Information from the manufacturer,Subway,,209,1450,347,26.4,17.9,4.7,8.4,1.6,,1300,,,,,693.78,166.03,12.63,8.56,2.25,4.02,0.77,,622.01,,,,
,Turkey,Nutritional Information from the manufacturer,Subway,,164,916,219,20.4,6.4,1.1,7.8,1.4,,1220,,,,,558.54,133.54,12.44,3.90,0.67,4.76,0.85,,743.90,,,,
,Turkey & Bacon Melt (w/ Chipotle Sauce),Nutritional Information from the manufacturer,Subway,,234,1850,442,31.9,25,8.8,11,3.9,,1674,,,,,790.60,188.89,13.63,10.68,3.76,4.70,1.67,,715.38,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salads,Roasted Chicken,Nutritional Information from the manufacturer,Subway,Values do not include salad dressing.,378,563,135,16.7,2.4,0.6,8.8,5.1,,531,,,,,148.94,35.71,4.42,0.63,0.16,2.33,1.35,,140.48,,,,
,Subway ClubTM,Nutritional Information from the manufacturer,Subway,,381,533,127,12.9,3.1,0.9,9.6,5.8,,759,,,,,139.90,33.33,3.39,0.81,0.24,2.52,1.52,,199.21,,,,
,Tuna,Nutritional Information from the manufacturer,Subway,,396,956,228,14.3,14.3,4.3,8.9,5.5,,532,,,,,241.41,57.58,3.61,3.61,1.09,2.25,1.39,,134.34,,,,
,Veggie DeliteTM,Nutritional Information from the manufacturer,Subway,,314,250,60,3,1.2,0.2,7.1,5.1,,79,,,,,79.62,19.11,0.96,0.38,0.06,2.26,1.62,,25.16,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cookies,Anzac,Nutritional Information from the manufacturer,Subway,,40,707,169,2.5,9.5,6.5,21.2,11.3,,81,,,,,1767.50,422.50,6.25,23.75,16.25,53.00,28.25,,202.50,,,,
,Double Chocolate Chip,Nutritional Information from the manufacturer,Subway,,37,689,165,2.2,7.7,5,21.4,8.2,,61,,,,,1862.16,445.95,5.95,20.81,13.51,57.84,22.16,,164.86,,,,
,M&M,Nutritional Information from the manufacturer,Subway,,40,711,170,2,7.4,4.8,24.4,11.9,,69,,,,,1777.50,425.00,5.00,18.50,12.00,61.00,29.75,,172.50,,,,
,Oat & Raisin,Nutritional Information from the manufacturer,Subway,,40,707,169,2,7.6,4.8,23.4,13.6,,71,,,,,1767.50,422.50,5.00,19.00,12.00,58.50,34.00,,177.50,,,,
,Peanut Butter,Nutritional Information from the manufacturer,Subway,,40,740,177,2.7,8.9,4.7,22.2,11.7,,29,,,,,1850.00,442.50,6.75,22.25,11.75,55.50,29.25,,72.50,,,,
,White Chip Macadamia Nut,Nutritional Information from the manufacturer,Subway,,37,860,206,0.9,12.9,6.7,21.5,13.5,,87,,,,,2324.32,556.76,2.43,34.86,18.11,58.11,36.49,,235.14,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breads,White Bread*,Nutritional Information from the manufacturer,Subway,,70,896,214,7.9,3.2,1.1,37.9,1.5,,364,,,,,1280.0,305.7,11.3,4.6,1.6,54.1,2.1,,520.0,,,,
,Wheat  Bread*,Nutritional Information from the manufacturer,Subway,,70,868,207,8.1,3.2,1,36,1.3,,385,,,,,1240.0,295.7,11.6,4.6,1.4,51.4,1.9,,550.0,,,,
,Parmesan Oregano Bread*,Nutritional Information from the manufacturer,Subway,,74,961,230,9.2,4.2,1.6,38.3,1.9,,398,,,,,1298.6,310.8,12.4,5.7,2.2,51.8,2.6,,537.8,,,,
,Honey Oat*,Nutritional Information from the manufacturer,Subway,,81,1050,251,9.6,4.1,1.1,43.6,5.7,,405,,,,,1296.3,309.9,11.9,5.1,1.4,53.8,7.0,,500.0,,,,
,Italian Herbs & Cheese*,Nutritional Information from the manufacturer,Subway,,81,1090,260,11.1,6.7,3.2,38.8,1.9,,447,,,,,1345.7,321.0,13.7,8.3,4.0,47.9,2.3,,551.9,,,,
,Deli Style Roll,Nutritional Information from the manufacturer,Subway,,60,744,178,6.9,2.6,0.8,31.3,1.3,,264,,,,,1240.0,296.7,11.5,4.3,1.3,52.2,2.2,,440.0,,,,
,Carb Conscious Wrap,Nutritional Information from the manufacturer,Subway,,70,690,165,14.6,4.5,0.5,5,0,,741,,,,,985.7,235.7,20.9,6.4,0.7,7.1,0.0,,1058.6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandwich & Salad Condiments (amount on SubwayÂ® 6-inch Sandwich),Bacon (2 strips),Nutritional Information from the manufacturer,Subway,,20,188,45,3.4,3.2,1.4,0.8,0.7,,184,,,,,940.0,225.0,17.0,16.0,7.0,4.0,3.5,,920.0,,,,
,Cheddar Cheese,Nutritional Information from the manufacturer,Subway,,11,177,42,2.3,3.7,2.6,0,0,,200,,,,,1609.1,381.8,20.9,33.6,23.6,0.0,0.0,,1818.2,,,,
,Honey Mustard Sauce (21 ml),Nutritional Information from the manufacturer,Subway,,21,141,34,0.3,0.3,0,7.4,6,,129,,,,,671.4,161.9,1.4,1.4,0.0,35.2,28.6,,614.3,,,,
,Sweet Onion Sauce (21 ml),Nutritional Information from the manufacturer,Subway,,21,156,37,0.1,0.1,0,8.6,7.8,,85,,,,,742.9,176.2,0.5,0.5,0.0,41.0,37.1,,404.8,,,,
,Chipotle Southwest Sauce (21 ml),Nutritional Information from the manufacturer,Subway,,21,349,83,0.6,8.1,1.3,2.1,1.5,,181,,,,,1661.9,395.2,2.9,38.6,6.2,10.0,7.1,,861.9,,,,
,Mayonnaise (15 ml),Nutritional Information from the manufacturer,Subway,,15,184,44,0.1,4.6,0.7,0.6,0,,66,,,,,1226.7,293.3,0.7,30.7,4.7,4.0,0.0,,440.0,,,,
,Ranch Dressing,Nutritional Information from the manufacturer,Subway,,21,250,60,0.3,6.6,0.5,0.4,0.2,,208,,,,,1190.5,285.7,1.4,31.4,2.4,1.9,1.0,,990.5,,,,
,Thousand Island (21 ml),Nutritional Information from the manufacturer,Subway,,21,339,81,0.2,6.8,0.7,5.3,4.9,,165,,,,,1614.3,385.7,1.0,32.4,3.3,25.2,23.3,,785.7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Easy Way,Milk Tea (small),Nutritional Information from the manufacturer,Easyway,,360,217,,0.2,3.2,,5.3,5.3,,,,,,,217,,0.2,3.2,,5.3,5.3,,,,,,
,Milk Tea (medium),Nutritional Information from the manufacturer,Easyway,,500,1085,,1,16,,26.5,26.5,,,,,,,217,,0.2,3.2,,5.3,5.3,,,,,,
,Milk Tea (large),Nutritional Information from the manufacturer,Easyway,,700,1519,,1.4,22.4,,37.1,37.1,,,,,,,217,,0.2,3.2,,5.3,5.3,,,,,,
,Relish Tea (small),Nutritional Information from the manufacturer,Easyway,,360,396,,,,,28.8,28.8,,,,,,,110.0,,,,,8.0,8.0,,,,,,
,Relish Tea (medium),Nutritional Information from the manufacturer,Easyway,,500,550,,,,,40,40,,,,,,,152.8,,,,,11.1,11.1,,,,,,
,Relish Tea (large),Nutritional Information from the manufacturer,Easyway,,700,770,,,,,56,56,,,,,,,213.9,,,,,15.6,15.6,,,,,,
,Shakes (small),Nutritional Information from the manufacturer,Easyway,,360,559.8,,,7.92,,15.3,15.3,,,,,,,155.50,,,2.20,,4.25,4.25,,,,,,
,Shakes (medium),Nutritional Information from the manufacturer,Easyway,,500,777.5,,,11,,21.25,21.25,,,,,,,215.97,,,3.06,,5.90,5.90,,,,,,
,Shakes (large),Nutritional Information from the manufacturer,Easyway,,700,1088.5,,,15.4,,29.75,29.75,,,,,,,302.36,,,4.28,,8.26,8.26,,,,,,
,Toppings (small),Nutritional Information from the manufacturer,Easyway,,360,801,,0.36,,,46.8,46.8,,,,,,,222.50,,0.10,,,13.00,13.00,,,,,,
,Toppings (medium),Nutritional Information from the manufacturer,Easyway,,500,1112.5,,0.5,,,65,65,,,,,,,309.03,,0.14,,,18.06,18.06,,,,,,
,Toppings (large),Nutritional Information from the manufacturer,Easyway,,700,1557.5,,0.7,,,91,91,,,,,,,432.64,,0.19,,,25.28,25.28,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vending Machine Products,TWISTIES CHEESE,Nutrition information panel,,"Corn, Vegetable Oil, Rice, WheyÂ Powder, Cheese Powder, Salt, Flavour Enhancer (621), HydrolysedÂ VegetableÂ Protein, Flavour, YeastÂ Extract, Cream Powder, Milk Powder, Natural Colours (160a, 160c),Food Acid (270).",27,563,,2,6.3,3.1,17.2,1.6,,285,,,,,2080,,7.4,23.4,11.4,63.7,5.8,,1060,,,,
,SMITHâS CRINKLES (Average all flavours),Nutrition information panel,,"Potatoes, Vegetable Oils, Salt (Flavourings)",27,588,,1.9,9.4,0.9,11.9,0.5,,161,,,,,2180,,7.1,34.8,3.5,44,1.7,,596,,,,
,PARKERâS PRETZELSÂ BAKED WHEAT TWISTS,Nutrition information panel,,"Wheat Flour, Glucose, Salt, Vegetable Oil, RaisingÂ AgentÂ (503), Yeast",35,573,,2.9,1,0.1,27.8,0.6,,482,,,,,1640,,8.3,2.9,0.4,79.4,1.8,,1380,,,,
,NOBBY'S SALTED PEANUTS,Nutrition information panel,,"Peanuts, Vegetable Oil, Salt",50,1230,,14.6,24.1,3.7,4.1,1.5,,235,,,,,2450,,29.1,48.2,7.4,8.2,3,,470,,,,
,DORITOS CHEESE SUPREME,Nutrition information panel,,"Corn, Vegetable Oil, Cheese Powder, Salt, Buttermilk Powder, WheatÂ Flour, Whey Protein Concentrate, Tomato Powder, Flavour Enhancers (621,Â 627,Â 631), OnionÂ Powder, Whey Powder, Garlic Powder, Dextrose, Sugar, Mineral SaltÂ (339), FoodÂ AcidsÂ (Lactic Acid, Citric Acid), Natural Flavour, Spice (White pepper), Colours (150D, 110)",27,588,,2.4,7.3,3.6,15.9,0.7,,149,,,,,2180,,8.9,27,13.3,58.7,2.6,,552,,,,
,CHEETOSÂ CHEESE & BACON BALLS,Nutrition information panel,,"Corn, Vegetable Oil, Wheat Flour, Whey Powder, Milk Powder, Salt, Flavour Enhancer (621), Cheese Powder, Buttermilk Powder, Mineral Salt (508), Maltodextrin, Cream Powder, Flavours, Yeast Extract, Natural Colours (Paprika extract, Turmeric), Food Acids (270, 330), Hydrolysed Vegetable Protein",17,389,,1.1,5.7,2.8,9.2,0.6,,141,,,,,2290,,6.6,33.4,16.5,54.2,3.3,,829,,,,
,BURGER RINGS,Nutrition information panel,,"Corn, Vegetable Oil, Rice Bran, Salt, Hydrolysed Vegetable Protein, Whey Powder, Sugar, Flavour Enhancer (621), Onion Powder, Yeast Extract, FoodÂ Acids (262,Â 330), Natural Flavour, Rice, Tomato Powder, Animal Fat, Garlic Powder, Colours (110, 155, 102), Natural Colours (Paprika extract)",18,394,,1.2,5.1,2.4,10.8,0.6,,205,,,,,2190,,6.6,28.1,13.5,59.8,3.2,,1140,,,,
,RED ROCK DELI (Average all flavours),Nutrition information panel,,"Potatoes, Sunflower Oil, Salt (Flavourings)",28,573,,2.2,6.3,0.6,17.8,0.2,,134,,,,,2040,,7.9,22.5,2.1,63.4,0.6,,479,,,,
,"Grain Waves, (Average all flavours)",Nutrition information panel,,"Wholegrain cereals (66%) (corn, wheat, oats), vegetable oil, rice, sugar, salt (flavourings)",50,1000,,3.7,10.4,1.7,32.4,2.6,,218,,,,,2000,,7.4,20.8,3.4,64.8,5.2,,436,,,,
,Kettle Potato Chips (Average all flavours),Nutrition information panel,,"Potatoes, vegetable oil (safflower and/or sunflower oil), whey, salt, 
buttermilk powder, cheddar cheese (pasteurized milk, cheese cultures, salt, 
enzymes), maltodextrin, sugar, onion powder, yeast extract, natural flavors, garlic 
powder, dried sour cream (cultured cream, nonfat milk), dried green onion, 
cultured buttermilk (buttermilk and cultures), lactic acid, citric acid, paprika 
oleoresin (color), natural smoke flavor.",50,1045,,3.8,13.6,1.3,28.3,0.2,,240,,,,,2090,,7.6,27.2,2.6,56.6,0.4,,480,,,,
,Cadbury original dairy milk chocolate,Nutrition information panel,,,50,1110,,4,14.8,9,28.5,27.8,,41,,,,,2220,,8,29.6,18,57,55.6,,82,,,,
,"Kit Kat, Original, 4 Finger",Nutrition information panel,,,45,981,,3.1,12.2,8.2,27.6,22.6,,43,,,,,2180,,7,27,18,61,50,,96,,,,
,"Mars, Original",Nutrition information panel,,,53,1050,,1.9,9.5,5.6,38.4,31,,70,,,,,1981,,4,18,11,72,58,,132,,,,
,"Kit Kat, Chunky, Original",Nutrition information panel,,,78,1708,,5.4,21.6,14,47.6,40.7,,74,,,,,2190,,7,28,18,61,52,,95,,,,
,Snickers,Nutrition information panel,,,53,1120,,4.8,13.3,5.1,30.7,26.5,,146,,,,,2113,,9,25,10,58,50,,275,,,,
,Twirl,Nutrition information panel,,,58,1299,,4.6,17.6,11,33.1,32.2,,47,,,,,2240,,8,30,19,57,56,,81,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juices and Smoothies,Body Toner,Nutritional Information from the manufacturer,Raw,"beetroot, carrots, orange",,516.76,,3.68,0.35,0,20.12,20.12,,148.51,,,,,5.03,,0.92,0.09,0,5.03,5.03,,37.13,,,,
,Pink Pineapple,Nutritional Information from the manufacturer,Raw,"pineapple, oranges, strawberries frozen",,612.93,,3.52,0.55,0,28.67,28.67,,22.04,,,,,6.49,,0.80,0.12,0.00,6.49,6.49,,4.99,,,,
,Honeyed Pineapple,Nutritional Information from the manufacturer,Raw,"melon, honeydew, pineapple, mint",,351.74,,1.58,0.59,0.01,16.99,16.27,,54.49,,,,,4.18,,0.39,0.15,0.00,4.18,4.01,,13.42,,,,
,Body Cleanser,Nutritional Information from the manufacturer,Raw,"cucumber green, apple gala, mint",,621.7,,3.1,0.66,0.01,29.3,28.16,,34.01,,,,,7.00,,0.74,0.16,0.00,7.00,6.73,,8.13,,,,
,Pear Splice,Nutritional Information from the manufacturer,Raw,"pear, coriander seed, limes",,1055.65,,4.95,4.17,0.2,62.91,49.61,,41.53,,,,,11.25,,0.89,0.75,0.04,11.25,8.87,,7.43,,,,
,Hydro-melon,Nutritional Information from the manufacturer,Raw,"watermelon seedless, mint, ginger",,334.33,,1.16,0.81,0,16.72,16.05,,6.98,,,,,3.20,,0.22,0.16,0.00,3.20,3.07,,1.34,,,,
,Vege Lift,Nutritional Information from the manufacturer,Raw,"beetroot, carrot, horseradish cream, masterfoods",,505.38,,3.46,0.36,0,19.47,19.4,,146.56,,,,,5.49,,0.98,0.10,0.00,5.49,5.47,,41.35,,,,
,Strawberry Splash,Nutritional Information from the manufacturer,Raw,"diced pineapples, strawberries frozen, oranges",,723.98,,3.2,0.68,0,34.54,34.54,,20.8,,,,,7.20,,0.67,0.14,0.00,7.20,7.20,,4.33,,,,
,Orange Sunrise,Nutritional Information from the manufacturer,Raw,"carrots, lemon, large oranges",,1079.3,,4.8,0.96,0,46.28,46.28,,110.6,,,,,5.71,,0.59,0.12,0.00,5.71,5.71,,13.65,,,,
,Tropicana (Cardio Kick),Nutritional Information from the manufacturer,Raw,"mango cheeks frozen, oranges, banana, passionfruit",,822.61,,4.02,0.45,0,39.08,36.16,,22.17,,,,,10.56,,1.09,0.12,0.00,10.56,9.77,,5.99,,,,
,Mango Mania,Nutritional Information from the manufacturer,Raw,"mango cheeks frozen, yogurt european, orange juice and cinnamon ground",,761.74,,4.53,4.02,2.18,44.78,43.22,,79.58,,,,,9.71,,0.98,0.87,0.47,9.71,9.37,,17.25,,,,
,Blueberry Breakfast,Nutritional Information from the manufacturer,Raw,"orange peeled whole, blueberries frozen, yogurt european, honey, psyllium husks, milk",,1727.45,,13.29,12.5,7.77,67.44,62.06,,160.54,,,,,9.63,,1.90,1.79,1.11,9.63,8.87,,22.93,,,,
,Raspberry Rush,Nutritional Information from the manufacturer,Raw,"muesli bircher, yogurt natural, honey, raspberries frozen, milk, apple juice",,2180.52,,18.11,15.1,8.45,72.26,55.91,,186.67,,,,,10.32,,2.59,2.16,1.21,10.32,7.99,,26.67,,,,
